,Tweet
150,"コード115-コード116

※コード115
115人。東京感染拡大。東　暗殺。空爆。脳出血。頭部の病気。体調不良。空港。銀行。金融関係。警察官。銃撃事件。北朝鮮によるミサイル発射。刃物。旅客機。有名映画俳優。政治家、議員。暴力団。頭。車。飛行機。115年。"
151,"@ribrib010 私は貴方を批判しているのではない
貴方が私を批判したから
その理由を確認しているだけです

宇と露の紛争のことの何をもって、私がファクトチェックの結論を政治的信条で決めつけているとされるか、理由がさっぱりわかりません"
152,民を豊かに満たしていたようです。また、神社、宮殿、港、造船所、人々の住居等、計画的に理路整然と造られていたようです。政治を行うもの、人々に教育を施す者、食料を生産するもの、工場で働く者等など、その内容によって住む所を定めていたりもしていたようですね。プラトンの9千年以上前の話…🗽
153,@tetsuginsuzuki 数年前にEUとのEPA交渉が無交渉で妥結した。茂木さんが外務大臣の時です。通常農業交渉や貿易会議は相手の言い分を全部認めることは少ないので、奇妙に思ったことを覚えています。で本日こちらの記事を見て、なるほど貿易交渉の鉄則ってあるなと思いました。自民も公明も日本のための政治をしてません
154,試合を終えて家路へ向かうサッカー部員達。疲れからか、不幸にも黒塗りの高級車に追突してしまう国会議員が何人いるだろうかと考えた。安倍政治は罪深い。
155,"原発事故後の方針を政府が大転換　新規建設や運転延長で最大限活用(朝日新聞デジタル)
#Yahooニュース
https://t.co/eXUnwvN3FA 将来性のない原発を活用しようとするなんて政治家の資格なし。この国の展望を見せる気が無いなら政治家やめろ。"
156,【感動】フィリピンの政治家と陸軍中佐の国を超えた友情【ゆっくり解説】 https://t.co/K7MQHuMvM1 @YouTubeより
157,私も自分の子供なら、どんな手使ってでも助けたいと思うけど、政治家が本当に助けてあげて、協力してあげて、って思うなら5億くらい出してから残り4000万募る位の気持ち見せて欲しいwそうじゃないなら偽善だと思うなぁ、実際財力的には出来るだろうしw株上げなんか？w https://t.co/EA1gJ3RlRl
158,今まで政治に関してほぼ興味もててなかったけど、岸田だけは親子そろってとっととやめて欲しい
159,@rei0plus_0 ボクも去年の旭川事件を知るまでは共産一筋でした。政治家が嫌いだったからです。しかし 数ヶ月仕事と食事以外の時間すべてをつぎ込んで事件を調べるうちに 原因は反国家集団にあるという結論に至り、考えを改めました。
160,政治に非ずして、学者
161,@CYXuAxfGlfFzZCT 本当なぜこの団体が政治に関わっているか謎😱
162,融資と投資と寄付の違いが分かっておらずごっちゃになっている人が政治家でも多いんですね。ファイナンスをよく勉強された方が良いのですが債権と株式投資は前提条件が全く違うのです。「無い袖は振れない」という前提で堂々と融資を受けた人は詐欺です。それなら投資にして貰うべきなのです。
163,@kamo_kue2 政治屋ですしw
164,"自分が罹患した時に軽症で済んだ体験から緩和してるとしか思えんな
やっぱり政治家は科学リテラシーないとあかんわ https://t.co/Sl0imTUjmW"
165,"@KOKAMIShoji 教育と政治の思考停止
同調圧力の成れの果て日本"
166,"少しづつ後追い視聴中。

吉村さんの教育無償化所得制限撤廃。

いいことだけどあんまり心に響かないな。

だってほとんどの人は貧乏人なんだものｗ

#あだトーク 第１６回 生田さんと足立君で政治のイノベーションを語る #生田よしかつ #足立康史 #あだち康史 #あだチャン
https://t.co/RFlwSr75EJ"
167,"ジャンプ＋プロモーションでアーニャが「ぜんぶくろいせん…！」って言ってるけど
なんだ、政治家の報告書かと思ったわ"
168,"@ribrib010 私は貴方を批判しているのではない
貴方が私を批判したから
その理由を確認しているだけです

宇と露の紛争のことの何をもって、私がファクトチェックの結論を政治的信条で決めつけているとされるか、理由がさっぱりわかりません"
169,この法律が日本を｢生産性が低すぎる国｣にした  https://t.co/N7ViucIIjj 「政治家、エコノミスト、財界のリーダーたちの大多数は経済低迷の要因を、「産業構造」に結びつけず、ひたすら「労働者」へと押し付けています。このあまりに”残念な勘違い”を象徴しているのが、「働き方改革」です」
170,★非公開というものの参加した政治家から漏れてくるのは大使から「習近平の新体制がコロナ対策や住宅政策などで不安定なことを指摘して、この4～6年間に何が起こるかは誰もわからない。中国にとってもだ。米国は、挑発ではなく抑止力を発揮していく。近くにいれば憎めない。日米中が意思疎通を密に
171,"プーチンは史上最悪の政治家の一人だが、戦争に反対しないロシア人もプーチンと同罪だ。
世界はもっとウクライナを支援すべき。"
172,わからないけどTwitterは情報収集にしておきます。馬鹿でナチス、差別発言や家父長制度推進の女性政治家に例えられるような人間(でもないらしい、鳥とか🐎🦌その他社会毒、がん等)は有名で社会的に意識の高い人達にはいらないでしょう。ということで、これからもマイペースで行きます。→
173,"民主主義の体制のもとでは、政治の惨状をもたらしているのは、君主の横暴などではなく、まさに私たち国民自身の生活意識や生活スタイルであり、それらの政治意識への反映であるからです。

https://t.co/6D1VDltEuJ"
174,"というか虎の威を借る狐というか、政治家なんだから主張があるなら自分の言葉として言いなさいよ、と思った

江戸時代の「大権現様の遺訓」みたいなこと現代社会で言ってどうすんのよ"
175,西側諸国は現在、経済的、社会的、政治的など、多くの根深い危機に直面している。階級間の分裂が拡大し、二極化が進むにつれて、西洋社会はしばしばコンセンサスを形成するのに苦労している。同時に、政府は合理的かつ効果的な方法で問題を解決する方法を見つけることが出来ない。
176,#李旺阳#  李旺陽死了，他就“活”了，他的政治前途有救了。
177,"@new_kuranosuke @v100saikou @knightma310 平和念仏教徒
「そうなる前に外交努力で何とかするのが政治家の仕事だろうが！」"
178,"@ribrib010 貴方の言うミアシャイマーの主張とは何ですか？

彼は著書でどう書いてますか？

米国が宇に戦争をけしかけたと書いてますか？

彼の理論は国際政治の構造です"
179,"この矛盾よ。
誰が誰のため血をを流すの？
アメリカ兵が日本のために流すの？

可愛いわが子が日本のためと言って血を流すの？

近隣諸国の子供たちが日本の武器で血を流すの？

子どたちの血が流れないようにするのが政治家の勤めだろうと、私は思う。 https://t.co/RH67EFRydG"
